k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9
0.009722508,0.00971591,0.00971591,0.00971591,0.0052164,0.00971591,0.009922932
0.009715911,0.009715913,0.007074709,0.00971591,0.00971591,0.00971591,0.00971591
0.009716134,0.00971591,0.00971591,0.00971591,0.037224075,0.00971591,0.00971591
0.011200983,0.00971719,0.00971591,0.00971591,0.00971591,0.028578418,0.018681372
0.00971591,0.00975932,0.00971591,0.00971591,0.000783567,0.00971591,0.00971591
0.009718945,0.00971591,0.00971591,0.00971591,0.00971591,0.00971591,0.00971591
0.009715929,0.00971591,0.00971591,0.012635509,0.00600733,0.00971591,0.00971591
0.009715911,0.00971591,0.00971591,0.00971591,0.00971591,0.00971591,0.00971591
0.010181158,0.009715923,0.009715915,0.012452085,0.00971591,0.00971591,0.00971591
0.009778928,0.00971591,0.009715914,0.00971591,0.00971591,0.00971591,0.00971591
