N = 30,N = 50,N = 100,N = 200
0.011381687,0.044972532,0.010507269,0.079656015
0.009985243,0.009715914,0.010139405,0.010794559
0.00971591,0.00971591,0.036304883,0.014889714
0.00971591,0.00971591,0.009715928,0.018233567
0.013261956,0.00971591,0.009715931,0.033349338
0.009715946,0.053614415,0.010418473,0.037228636
0.00971591,0.040474609,0.00971591,0.010393619
0.00971591,0.00971591,0.010252212,0.038099442
0.00971591,0.001350155,0.032716494,0.009846049
0.00971591,0.009722804,0.035979712,0.03958486
